link,title_year,budget,country,ExchangeRate
https://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,2003,"Û5,000,000 (estimated)",Italy,1.1321
https://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,2003,"Û7,400,000 (estimated)",France,1.1321
https://www.imdb.com/title/tt0369702/?ref_=fn_tt_tt_1,2004,"Û10,000,000 (estimated)",Spain,1.2438
https://www.imdb.com/title/tt0414852/?ref_=fn_tt_tt_1,2004,"Û12,000,000 (estimated)",France,1.2438
https://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,2004,"Û13,500,000 (estimated)",Germany,1.2438
https://www.imdb.com/title/tt0437123/?ref_=fn_tt_tt_1,2004,"Û150,000 (estimated)",France,1.2438
https://www.imdb.com/title/tt0420206/?ref_=fn_tt_tt_1,2004,"Û2,700,000 (estimated)",Germany,1.2438
https://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,2004,"Û5,500,000 (estimated)",France,1.2438
https://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1,2004,"Û59,660,000 (estimated)",France,1.2438
https://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,2005,"Û18,151,814 (estimated)",France,1.2449
https://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,2006,"Û1,400,000 (estimated)",France,1.2563
https://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,2006,"Û24,000,000 (estimated)",Spain,1.2563
https://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,2006,"Û32,000,000 (estimated)",France,1.2563
https://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,2006,"Û7,450,000 (estimated)",Spain,1.2563
https://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,2007,"Û1,300,000 (estimated)",France,1.3711
https://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,2007,"Û1,500,000 (estimated)",Spain,1.3711
https://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1,2007,"Û16,000,000 (estimated)",France,1.3711
https://www.imdb.com/title/tt0837106/?ref_=fn_tt_tt_1,2007,"Û25,000,000 (estimated)",Sweden,1.3711
https://www.imdb.com/title/tt0464141/?ref_=fn_tt_tt_1,2007,"Û3,400,000 (estimated)",Spain,1.3711
https://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,2007,"Û4,500,000 (estimated)",UK,1.3711
https://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1,2007,"Û590,000 (estimated)",Romania,1.3711
https://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,2008,"Û11,000,000 (estimated)",France,1.4726
https://www.imdb.com/title/tt1064932/?ref_=fn_tt_tt_1,2008,"Û11,000,000 (estimated)",France,1.4726
https://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,2008,"Û20,000,000 (estimated)",Germany,1.4726
https://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,2008,"Û4,000,000 (estimated)",Netherlands,1.4726
https://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,2008,"Û5,000,000 (estimated)",Germany,1.4726
https://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1,2008,"Û78,000,000 (estimated)",France,1.4726
https://www.imdb.com/title/tt1264904/?ref_=fn_tt_tt_1,2009,"Û22,700,000 (estimated)",France,1.3935
https://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,2009,"Û3,600,000 (estimated)",Italy,1.3935
https://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,2009,"Û4,000,000 (estimated)",Germany,1.3935
https://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1,2010,"Û10,000,000 (estimated)",France,1.3261
https://www.imdb.com/title/tt1440232/?ref_=fn_tt_tt_1,2010,"Û15,268,310 (estimated)",France,1.3261
https://www.imdb.com/title/tt1216520/?ref_=fn_tt_tt_1,2010,"Û3,660,000 (estimated)",Germany,1.3261
https://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,2010,"Û4,000,000 (estimated)",France,1.3261
https://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,2011,"Û15,000,000 (estimated)",UK,1.3931
https://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,2011,"Û25,000,000 (estimated)",France,1.3931
https://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,2011,"Û3,850,000 (estimated)",Finland,1.3931
https://www.imdb.com/title/tt1748179/?ref_=fn_tt_tt_1,2012,"Û14,000,000 (estimated)",Spain,1.2859
https://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,2012,"Û17,000,000 (estimated)",France,1.2859
https://www.imdb.com/title/tt1859650/?ref_=fn_tt_tt_1,2012,"Û17,000,000 (estimated)",USA,1.2859
https://www.imdb.com/title/tt1816518/?ref_=fn_tt_tt_1,2012,"Û9,600,000 (estimated)",France,1.2859
https://www.imdb.com/title/tt1924396/?ref_=fn_tt_tt_1,2013,"Û13,500,000 (estimated)",Italy,1.3281
https://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1,2013,"Û9,200,000 (estimated)",Italy,1.3281
https://www.imdb.com/title/tt3547740/?ref_=fn_tt_tt_1,2014,"Û10,962,002 (estimated)",France,1.3297
https://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,2015,"Û24,926,736 (estimated)",France,1.1096
https://www.imdb.com/title/tt4374230/?ref_=fn_tt_tt_1,2015,"Û500,000 (estimated)",Slovenia,1.1096
https://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1,2001,"_7,000,000 (estimated)",India,0.021177467
https://www.imdb.com/title/tt0442764/?ref_=fn_tt_tt_1,2005,"_70,000,000 (estimated)",India,0.022727169
https://www.imdb.com/title/tt0456144/?ref_=fn_tt_tt_1,2006,"_120,000,000 (estimated)",India,0.022130699
https://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1,2006,"_700,000,000 (estimated)",India,0.022130699
https://www.imdb.com/title/tt1532957/?ref_=fn_tt_tt_1,2009,"_150,000,000 (estimated)",India,0.020690055
https://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,2010,"_600,000,000 (estimated)",India,0.021905469
https://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,1954,"´125,000,000 (estimated)",Japan,0.002777778
